institution,logo,region,country,state,type
University Center of Mayotte,https://upload.wikimedia.org/wikipedia/fr/thumb/9/96/Logo_Centre_universitaire_de_Mayotte.svg/160px-Logo_Centre_universitaire_de_Mayotte.svg.png?20131225224438,Africa,Mayotte,Dembeni,University
University of Rwanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/University_of_Rwanda_-_LOGO_B_RV.png/600px-University_of_Rwanda_-_LOGO_B_RV.png?20190915194723,Africa,Rwanda,Kigali,University
Kibogora Polytechnic ,https://pbs.twimg.com/profile_images/674926849999376384/w-C-uGhz_400x400.png,Africa,Rwanda,Nyamasheke District,University
African Leadership University ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Alu_logo.png/220px-Alu_logo.png,Africa,Rwanda,Kigali,University
Ruhengeri Institute of Higher Education ,https://i0.wp.com/mucuruzi.com/wp-content/uploads/2022/08/Ruhengeri-Institute-of-Higher-Education.jpg?fit=1200%2C600&ssl=1,Africa,Rwanda,Musanze,University
Hamelmalo College of Agriculture,https://media.licdn.com/dms/image/D560BAQEucr_WmUQLRg/company-logo_200_200/0/1682803228703?e=2147483647&v=beta&t=OGH0qF-lnnpwayS3LrQ737k6Lt7mbBnWUqNK-jM_2cI,Africa,Eritrea,Anseba,University
Asmara College of Health Sciences,https://uni24k.com/media/logos/logo_schools_u2b0a7889_ff3a30eb.png,Africa,Eritrea,Asmara,University
Adi-Keih College of Arts and Social Sciences,https://schchat.com/storage/school/profilepic/CASSlogocolorjpg_1637757065.jpg,Africa,Eritrea,Debub,University
Massawa College of Marine Science and Technology,https://d2jyir0m79gs60.cloudfront.net/college/logos/308965_zamboanga-state-college-of-marine-sciences-and-technology-logo.jpg,Africa,Eritrea,Abardae,University
University of Juba,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Uoj-logo.png/220px-Uoj-logo.png,Africa,South Sudan,Juba,University
John Garang Memorial University of Science and Technology,https://www.adscientificindex.com/logos/14031.jpg,Africa,South Sudan,Jonglei,University
The Catholic University of South Sudan,https://www.schchat.com/storage/school/profilepic/CUSSjpg_1637239532.jpg,Africa,South Sudan,Juba,University
